"Timestamp","What is your association status at IIASA?","What is your gender?","How long have you lived in Austria?","Do you have dependents living with you in Austria?","How long have you lived separately from your families due to your IIASA employment? ","What is the main reason for you to live separately from your families? (Select all that apply)","If you want to provide more details about the reason, please do so.","Do you foresee that they join you in Austria in the near future?","How long have you lived in Austria WITH your children?","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 1]","How many children do you have and how old are they? (If you have none, leave them blank.) [child 2]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 3]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 4]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 5]","Do any of your children stay involuntarily at home (i.e. not attending kindergarten or school)? If so, why?","Are you aware that in accordance with Austrian labor law you can have extra leave, separate from normal annual leave, for nursing your family members (when certain conditions are met)?","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [IIASA HR]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other IIASA families]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other non-IIASA friends]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Local government]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Internet]","How much do you think you are paying for childcare per month per child? (e.g. babysitting, tuition, other activities, etc.)","Are you receiving family allowance (""familienbeihilfe"") for all of your eligible children at the moment?","If you are not receiving it, can you tell us the reason?","If you are from the EU, how difficult was the application process for familienbeihilfe?","Are all children covered by health insurance?","If they are not, can you tell us the reason?","Do they all have pediatricians to go to?","If they don't, can you tell us the reason?","Are you covered by the private (Cigna) or the Austrian scheme?","Please leave any notes if you have any concerns or issues about medical care or insurances in Austria.","Are you or your partner from Austria?","Are you or your partner from other EU countries?","Are you or your partner able to communicate in German?","Are you or your partner learning German now?","If no adult in your family is learning German, what are the main reasons? (Select all that apply)","What are the main challenges you experience when you don't communicate well in German in Austria?","Does your family have a social circle who you can easily get together with or rely on when something happens?","Who mainly are in your social circles? (Select all)","If you are finding it difficult to socialize, can you explain what your main challenge is?","Does your partner currently work?","How long did it take for your partner to find a job since starting to search?","Is your partner working in the field related to his/her original career/qualifications?","Is your partner looking for a job now?","If the partner is not looking, was it a voluntary decision?","What are/were the barriers for your partner's career development in Austria? (Select all that apply)","If you want to provide more details about the job search or business experiences, please do so.","How would you assess each of the challenges? [Socializing]","How would you assess each of the challenges? [Financial]","How would you assess each of the challenges? [Partner's job/career]","How would you assess each of the challenges? [Childcare (incl. Education)]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Flextime]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Telecommuting (work from home)]","Many Austrian organisations jointly run ""Dual Career Service"" to facilitate ""the networking of member organisations from the research and scientific domain [...] to improve the support for dual career couples."" (See for example, http://www.dualcareer.ac.at or http://dcss.wwtf.at) How helpful do you think it would be for IIASA to join such network?  [Dual Career Service]","Would you recommend other specific measures or services to implement to increase family well-being?","We would like to welcome any other suggestions on the topic of 'family well-being at IIASA.' (e.g. how to improve the situation, any other difficulties, how to set up information channels, etc.)"
"2017/11/06 10:33:09 AM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","","0-2","","","","","No","No","From time to time","Most of the time","From time to time","Never","Most of the time","EUR 0-200","No","Application is still processing.","3","Yes","","Yes","","Cigna","","No","Yes, myself","No","No","Lack of time","","2","Extended family (grandparents and other relatives);IIASA colleagues or their families;People living in the same neighborhood","","No","","","No","Yes","Language;Lack of network (people or other resources);Too small job market","","A minor problem.","We don't have this problem.","A minor problem.","A minor problem.","Useless","Better to have","Better to have","It would be useful if the German language tutoring assistance would be applicable to children of pre-school ages. Foreign language lessons are most effective at a younger age, and I expect that parents would like their children to be prepared to speak German before they go to school, not only after they have already started. Conversely, if the child's German is good enough for him/her to go to a public school, then he/she probably doesn't need tutoring.",""
"2017/11/06 10:49:20 AM GMT+1","Employee","Male","1-3 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","Very poor infomration provided by HR on which health insurance to choose","No","Yes, both","No","Yes","","Unable to complain and seek out better options","4","IIASA colleagues or their families;We hardly know anyone.","People are obsessed with Vienna and if you dont live in vienna you dont get invited to social events that aren't IIASA events","Yes, paid full-time","Less than 6 months","somewhat","","","Language;Lack of network (people or other resources);Too small job market","","A minor problem.","A minor problem.","A minor problem.","We don't have this problem.","Better to have","Better not to have","Better to have","I think a maximum of 2 days per month working from home. I have no sympathy for people who complain there is no working from home and that Laxenburg is far from Vienna. These were clearly the conditions when initial contract was signed. If we have working from home and too much flextime, people will never come to work. It's obvious. If I need to meet someone and they are working from home, its going to affect my work, whilst they sit at home drinking their latte in their pyjamas",""
"2017/11/06 11:06:34 AM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, my partner","","","","","","3","People from the same country or similar region;People living in the same neighborhood","","Yes, paid full-time","Less than 6 months","Yes","","","Too small job market","","Somewhat problematic.","Serious.","Somewhat problematic.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/06 11:39:58 AM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","","7-12","3-6","3-6","","","","Yes","Never","Rarely","From time to time","Most of the time","From time to time","EUR 400-600","Yes","","2","Yes","","Yes","","Cigna","","No","Yes, both","Yes, both","","","","1","Families of my children's school/kindergarten friends;People living in the same neighborhood","","Yes, paid part-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","Somewhat problematic.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","I thought Austrian's salaries increase per child, not IIASA's!? Should IIASA follow this rule, if this rule must be followed?","It is extremely hard to get the right information even if you call the Austrian administration. 2 persons can tell you different thing when you call them. I would suggest IIASA/HR/STAC get in touch with some officials from the Austrian administration (e.g., NOEKK) and set up a kind road book for IIASA families!"
"2017/11/06 3:18:14 PM GMT+1","Employee","Male","1-3 years","I have dependents, but all of them live elsewhere.","Less than a year","Children's education;Not worth the effort because of the short contract","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better not to have","Better not to have","Better to have","",""
"2017/11/06 5:34:36 PM GMT+1","Employee","Female","3-5 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","It is very difficult to understand the coverage of the insurance systems available when you have just moved to Austria. Choosing to not join the Austrian social security excludes you from many additional insurances, the need of which is difficult to foresee. ","No","Yes, both","No","Yes","Lack of time","It is very difficult to meet people, and when you don't know locals, it is even more difficult to learn German. We can manage basic things, but especially everything to do with authorities is very difficult, to the extent that if I do not ask a German-speaking colleague at work to call a certain office, I get no answer at all (have been hung up several times).","3","IIASA colleagues or their families;People living in the same neighborhood","","Yes, paid part-time","6 months -  2 years","Not original qualifications, but he has studied a new profession since then","","","Language;Lack of network (people or other resources)","","A minor problem.","We don't have this problem.","We don't have this problem.","","Better to have","Extremely helpful","Better to have","Vienna and surrounding towns offer many activities and support to foreigners and/or other activities and hobby possibilities. It is very difficult to find information about these, especially as much is in German. Some kind of info packages/collection of links on IIASA pages would be helpful to get started. I think also that the various IIASA parties are a nice way to feel welcome in Austria - the family well-being aspect of these should not be neglected! ",""
"2017/11/07 3:37:23 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","1-3 years","3-6","","","","","","Yes","Rarely","From time to time","From time to time","Never","Most of the time","EUR 400-600","Yes","","3","Yes","","Yes","","Cigna","Even with the doctor search tools, it is still not easy to find decent doctors who we can communicate well with. And if someone has an injury or sickness requiring regular checkups or physio-therapies, 20% of co-payments easily stack up and become a significant portion of family budget, which is financially challenging for IIASA salary.","No","No","No","No","Lack of time;Finance;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc);Don't know how long I can stay here","Almost everything like doctors, internet company, car management (mechanics, insurances, etc.), housing contract. And this kind of miscommunication frequently leads to additional costs (literally, money) for penalties, scams, overcharging, etc.","4","Families of my children's school/kindergarten friends;People from the same country or similar region;People living in the same neighborhood","Language and lack of time due to childcare","No","","","Yes","","Language;Lack of network (people or other resources);Too small job market","In my wife's area, industry jobs mostly require German skill. And not knowing anyone in the area is a major obstacle too. It feels like a decision of either giving up her original background and doing whatever available or waiting longer and hoping to find something. Quite frustrating.","Somewhat problematic.","Serious.","Extremely serious. I can consider leaving because of this.","A minor problem.","Don't care","Don't care","Extremely helpful","Base salary based on existence of dependents like other international organizations. And I think having a 'buddy family' system back (I heard it once existed) is good (matching a newcoming family with a similarly structured family to share practical information between the two). This can inform newcoming families of common challenges here as a family.","After spending about a year, I was feeling that working here is not really sustainable especially for non-EU families. Far from other families, not enough salary (unless the spouse is working), short contracts, quite poor communicability in English in the society, etc. I still don't exactly know how to improve it from the employer's side. But at least I think employers and HR should be aware of these difficulties and should not say they are ""already doing a good job"" in supporting international families. The dual career service sounds like one of the first things that IIASA must have."
"2017/11/07 4:58:36 PM GMT+1","Employee","Female","1-3 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Better to have","Don't care","",""
"2017/11/07 5:00:03 PM GMT+1","Employee","Male","More than 10 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Better to have","Don't care","",""
"2017/11/07 5:00:46 PM GMT+1","Employee","Female","3-5 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","Yes, my partner","","","","","","3","","","Yes, paid full-time","","Yes","","","","","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely serious. I can consider leaving because of this.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:02:25 PM GMT+1","Employee","Male","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, my partner","","","","","","1","People from the same country or similar region;People living in the same neighborhood","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","Somewhat problematic.","Serious.","Somewhat problematic.","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:02:45 PM GMT+1","Employee","Female","1-3 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","Yes, both","Yes, both","","","","2","IIASA colleagues or their families;People living in the same neighborhood","","Yes, self-employed - formal business","","","","","Language;Lack of network (people or other resources);Cultural differences;Too small job market","","A minor problem.","A minor problem.","Extremely serious. I can consider leaving because of this.","We don't have this problem.","","Better to have","Extremely helpful","",""
"2017/11/07 5:03:10 PM GMT+1","Employee","Female","1-3 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","Day-care service in the institute: mini kindergarten in IIASA, where parents can leave their children during the working day",""
"2017/11/07 5:03:16 PM GMT+1","Employee","Female","3-5 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/07 5:03:30 PM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","More than 10 years","Over 18","Over 18","Over 18","Over 18","","No","Yes","Rarely","From time to time","Most of the time","Most of the time","Most of the time","EUR 600-1000","Yes","","2","Yes","","Yes","","Austrian","","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends;People living in the same neighborhood","","Yes, self-employed - formal business","","","","","","","A minor problem.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","","",""
"2017/11/07 5:03:49 PM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives);IIASA colleagues or their families;People from the same country or similar region","","Yes, paid full-time","Less than 6 months","Yes","","","Too small job market","","A minor problem.","A minor problem.","Serious.","We don't have this problem.","Better not to have","Better to have","Better to have","",""
"2017/11/07 5:04:14 PM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","More than 10 years","13-17","13-17","","","","no","Yes, but I am not aware of some conditions","Rarely","Never","Most of the time","From time to time","Most of the time","EUR 200-400","Yes","","","Yes","","Yes","","Austrian","","No","No","Yes, myself","No","","","1","IIASA colleagues or their families","","Yes, paid full-time","","","","","","","A minor problem.","A minor problem.","","A minor problem.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:04:16 PM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","","7-12","3-6","0-2","","","no","Yes","","","","","","over EUR 1000","Yes","","2","Yes","","Yes","","Austrian","","Yes, myself","","","","","","3","Extended family (grandparents and other relatives)","","No","","","Yes","","Language;Cultural differences","","A minor problem.","Somewhat problematic.","Serious.","Somewhat problematic.","Better to have","Better to have","Don't care","",""
"2017/11/07 5:04:16 PM GMT+1","Employee","Male","More than 10 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/07 5:04:37 PM GMT+1","Employee","Female","5-10 years","Yes, with children.","","","","","","3-6","","","","","no","No","Never","Rarely","From time to time","Never","Rarely","EUR 600-1000","Yes","","","Yes","","Yes","","Austrian","","No","Yes, my partner","Yes, my partner","No","Lack of time","","4","Families of my children's school/kindergarten friends","Cultural differences ","Yes, paid full-time","","Yes","","","","","Serious.","A minor problem.","A minor problem.","A minor problem.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:05:37 PM GMT+1","Employee","Female","3-5 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","Women pay more for the same health insurance. This is gender discrimination. Birth control is also not covered. ","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives);IIASA colleagues or their families","","Yes, paid part-time","NA","Yes","","","No barriers","","We don't have this problem.","Somewhat problematic.","We don't have this problem.","We don't have this problem.","Better to have","Better to have","Better to have","","Provide better onboarding for newcomers to explain a bit how things work in Austria (renting a flat, etc) "
"2017/11/07 5:05:54 PM GMT+1","Employee","Female","Less than a year","I have dependents, but all of them live elsewhere.","Less than a year","Financial reason","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/07 5:07:14 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","1-3 years","3-6","0-2","","","","no","No","Rarely","Rarely","From time to time","Rarely","Most of the time","EUR 600-1000","Yes","","5","Yes","","Yes","","Cigna","","No","Yes, both","Yes, both","","","","4","Families of my children's school/kindergarten friends","","No","","","Yes","","Lack of network (people or other resources)","","Somewhat problematic.","Serious.","Somewhat problematic.","Somewhat problematic.","Better to have","Extremely helpful","Better to have","",""
"2017/11/07 5:08:15 PM GMT+1","Employee","Male","3-5 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Better to have","Better to have","","Organize some kind of meetings explicitly for single/lonely employees where they will be able to connect to other singles and know each other better. Dedicated work and development of professional skills (and making science is all about it) leaves especially a non-local person hardly a chance to settle a relationship. And prolonged loneliness in a foreign environment often leads to a depression which in turn hinders one's professional capabilities...Or maybe Sergio Rinaldi knows better ;) "
"2017/11/07 5:08:27 PM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","","13-17","Over 18","Over 18","","","No","Yes","Rarely","From time to time","Most of the time","From time to time","Most of the time","EUR 600-1000","Yes","","1","Yes","","No","They are too old now. They go to regular doctors but they used to go to pediatricians in Austria when they were younger","Austrian","","No","Yes, myself","Yes, myself","No","We do speak German already and my children as well","","1","IIASA colleagues or their families;Families of my children's school/kindergarten friends;People from the same country or similar region","","I am divorced","Not relevant","NR","","","NR","","A minor problem.","A minor problem.","","We don't have this problem.","Extremely helpful","Extremely helpful","Better to have","The possibility to have a longer time horizon at IIASA with extended contract time.",""
"2017/11/07 5:08:28 PM GMT+1","Employee","Male","5-10 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Extremely helpful","Better to have","",""
"2017/11/07 5:08:32 PM GMT+1","Employee","Male","1-3 years","I have dependents, but all of them live elsewhere.","1-3 years","Partner's career/job;Children's education","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:09:19 PM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","Less than a year","0-2","","","","","","Yes","Never","From time to time","From time to time","Most of the time","Most of the time","EUR 200-400","Yes","","1","Yes","","Yes","","Austrian","","Yes, myself","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends","","Yes, paid full-time","Less than 6 months","Yes","","","Language;Lack of work permit;Too small job market","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/07 5:09:39 PM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","","3-6","","","","","","No","","","Most of the time","","","EUR 400-600","Yes","","","Yes","","Yes","","Cigna","80 percent coverage still leaves considerable personal costs for health.","No","No","Yes, both","","","","2","Families of my children's school/kindergarten friends;People living in the same neighborhood","Were it not for my child's school friends' families, we would have no social outlet. We don't have a social circle at IIASA.","Yes, self-employed - informal business","","","","","Language;Lack of network (people or other resources)","","Somewhat problematic.","Somewhat problematic.","Somewhat problematic.","We don't have this problem.","Better to have","Better not to have","Better to have","",""
"2017/11/07 5:13:30 PM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives)","","Yes, paid full-time","","Yes","","","","","We don't have this problem.","We don't have this problem.","We don't have this problem.","","Useless","Useless","","",""
"2017/11/07 5:14:52 PM GMT+1","Employee","Male","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","I find the coverage for eye care insufficient and would be happy if IIASA could negotiate a complementary health insurance coverage","No","Yes, myself","Yes, myself","No","Lack of time","everything takes much longer than if I was speaking German, and sometimes do not happen or are paid at unnecessarily high cost. For example, for some insurances (e.g., house insurance, credit card insurance) we are basically left with the choice of not having anything or pay for a product w are not able to evaluate (English descriptions of contracts are not always available, and the German translation needs a professional).","3","IIASA colleagues or their families;People from the same country or similar region","First above all, lack of time (for activities & learning language). Second (and related too), language barrier (makes everything much slower). Third, lack of connection to neighbors (we don't have a lot in common with neighbors, unless we leave close to other expatriates).","Yes, paid full-time","came to Austria for work","Yes","","","(before we were partners) was working in different countries before being able to join Austria","","Somewhat problematic.","A minor problem.","We don't have this problem.","We don't have this problem.","Better to have","Extremely helpful","Better to have","Make overtime the exception rather than the norm (right now it is the way around)",""
"2017/11/07 5:15:12 PM GMT+1","Employee","Male","Less than a year","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:17:08 PM GMT+1","Employee","Male","More than 10 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:18:14 PM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","More than 10 years","Over 18","","","","","No","Yes","","","","","","","Yes","","","Yes","","Yes","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives)","","No","","","No","Yes","","","A minor problem.","We don't have this problem.","We don't have this problem.","A minor problem.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/07 5:22:12 PM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","","Over 18","","","","","","Yes","Never","","Most of the time","From time to time","Most of the time","EUR 600-1000","Yes","","","Yes","","No","","Austrian","","Yes, my partner","","","","","","3","We hardly know anyone.","","Yes, paid full-time","Less than 6 months","Yes","","","","","Somewhat problematic.","Serious.","","Serious.","Don't care","Don't care","Better to have","",""
"2017/11/07 5:24:00 PM GMT+1","Employee","Male","5-10 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Better to have","Better to have","",""
"2017/11/07 5:31:37 PM GMT+1","Employee","Female","Less than a year","I have dependents, but all of them live elsewhere.","separate cities, not countries","Partner's career/job;Children's education","un-Affordable international school fee in Vienna","we are only separated by cities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","family group discussion on adaptation to Austria",""
"2017/11/07 5:31:40 PM GMT+1","Employee","Male","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","Yes, myself","Yes, my partner","No","Lack of time","Understanding contracts","4","IIASA colleagues or their families","","No","","","Yes","","Language;Lack of network (people or other resources);Cultural differences;Too small job market","","A minor problem.","Somewhat problematic.","Extremely serious. I can consider leaving because of this.","We don't have this problem.","Extremely helpful","Extremely helpful","Don't care","",""
